[2021-09-13 13:07:39,114][INFO] train iteration 119
[2021-09-13 13:07:39,474][INFO] train iteration 120
[2021-09-13 13:07:39,832][INFO] train iteration 121
[2021-09-13 13:07:40,193][INFO] train iteration 122
[2021-09-13 13:07:40,555][INFO] train iteration 123
[2021-09-13 13:07:40,912][INFO] train iteration 124
[2021-09-13 13:07:41,271][INFO] train iteration 125
[2021-09-13 13:07:41,629][INFO] train iteration 126
[2021-09-13 13:07:41,988][INFO] train iteration 127
[2021-09-13 13:07:42,346][INFO] train iteration 128
[2021-09-13 13:07:42,704][INFO] train iteration 129
[2021-09-13 13:07:43,062][INFO] train iteration 130
[2021-09-13 13:07:43,419][INFO] train iteration 131
[2021-09-13 13:07:43,779][INFO] train iteration 132
[2021-09-13 13:07:44,139][INFO] train iteration 133
[2021-09-13 13:07:44,499][INFO] train iteration 134
[2021-09-13 13:07:44,857][INFO] train iteration 135
[2021-09-13 13:07:45,217][INFO] train iteration 136
[2021-09-13 13:07:45,575][INFO] train iteration 137
[2021-09-13 13:07:45,933][INFO] train iteration 138
[2021-09-13 13:07:46,290][INFO] train iteration 139
[2021-09-13 13:07:46,648][INFO] train iteration 140
[2021-09-13 13:07:47,007][INFO] train iteration 141
[2021-09-13 13:07:47,366][INFO] train iteration 142
[2021-09-13 13:07:47,724][INFO] train iteration 143
[2021-09-13 13:07:48,083][INFO] train iteration 144
[2021-09-13 13:07:48,442][INFO] train iteration 145
[2021-09-13 13:07:48,801][INFO] train iteration 146
[2021-09-13 13:07:49,164][INFO] train iteration 147
[2021-09-13 13:07:49,524][INFO] train iteration 148
[2021-09-13 13:07:49,884][INFO] train iteration 149
[2021-09-13 13:07:50,244][INFO] train iteration 150
[2021-09-13 13:07:50,607][INFO] train iteration 151
[2021-09-13 13:07:50,969][INFO] train iteration 152
[2021-09-13 13:07:51,330][INFO] train iteration 153
[2021-09-13 13:07:51,690][INFO] train iteration 154
[2021-09-13 13:07:52,052][INFO] train iteration 155
[2021-09-13 13:07:52,413][INFO] train iteration 156
[2021-09-13 13:07:52,775][INFO] train iteration 157
[2021-09-13 13:07:53,137][INFO] train iteration 158
[2021-09-13 13:07:53,498][INFO] train iteration 159
[2021-09-13 13:07:53,860][INFO] train iteration 160
[2021-09-13 13:07:54,221][INFO] train iteration 161
[2021-09-13 13:07:54,583][INFO] train iteration 162
[2021-09-13 13:07:54,943][INFO] train iteration 163
[2021-09-13 13:07:55,305][INFO] train iteration 164
[2021-09-13 13:07:55,668][INFO] train iteration 165
[2021-09-13 13:07:56,028][INFO] train iteration 166
[2021-09-13 13:07:56,389][INFO] train iteration 167
[2021-09-13 13:07:56,749][INFO] train iteration 168
[2021-09-13 13:07:57,110][INFO] train iteration 169
[2021-09-13 13:07:57,470][INFO] train iteration 170
[2021-09-13 13:07:57,830][INFO] train iteration 171
[2021-09-13 13:07:58,189][INFO] train iteration 172
[2021-09-13 13:07:58,548][INFO] train iteration 173
[2021-09-13 13:07:58,909][INFO] train iteration 174
[2021-09-13 13:07:59,270][INFO] train iteration 175
[2021-09-13 13:07:59,630][INFO] train iteration 176
[2021-09-13 13:07:59,990][INFO] train iteration 177
[2021-09-13 13:08:00,351][INFO] train iteration 178
[2021-09-13 13:08:00,712][INFO] train iteration 179
[2021-09-13 13:08:01,074][INFO] train iteration 180
[2021-09-13 13:08:01,436][INFO] train iteration 181
[2021-09-13 13:08:01,796][INFO] train iteration 182
[2021-09-13 13:08:02,156][INFO] train iteration 183
[2021-09-13 13:08:02,517][INFO] train iteration 184
[2021-09-13 13:08:02,878][INFO] train iteration 185
[2021-09-13 13:08:03,239][INFO] train iteration 186
[2021-09-13 13:08:03,602][INFO] train iteration 187
[2021-09-13 13:08:03,962][INFO] train iteration 188
[2021-09-13 13:08:04,323][INFO] train iteration 189
[2021-09-13 13:08:04,684][INFO] train iteration 190
[2021-09-13 13:08:05,046][INFO] train iteration 191
[2021-09-13 13:08:05,407][INFO] train iteration 192
[2021-09-13 13:08:05,770][INFO] train iteration 193
[2021-09-13 13:08:06,132][INFO] train iteration 194
[2021-09-13 13:08:06,495][INFO] train iteration 195
[2021-09-13 13:08:06,856][INFO] train iteration 196
[2021-09-13 13:08:07,217][INFO] train iteration 197
[2021-09-13 13:08:07,577][INFO] train iteration 198
[2021-09-13 13:08:07,940][INFO] train iteration 199
[2021-09-13 13:08:08,303][INFO] train iteration 200
[2021-09-13 13:08:08,909][INFO] train iteration 201
[2021-09-13 13:08:09,270][INFO] train iteration 202
[2021-09-13 13:08:09,632][INFO] train iteration 203
[2021-09-13 13:08:09,994][INFO] train iteration 204
[2021-09-13 13:08:10,356][INFO] train iteration 205
[2021-09-13 13:08:10,720][INFO] train iteration 206
[2021-09-13 13:08:11,083][INFO] train iteration 207
[2021-09-13 13:08:11,444][INFO] train iteration 208
[2021-09-13 13:08:11,807][INFO] train iteration 209
[2021-09-13 13:08:12,170][INFO] train iteration 210
[2021-09-13 13:08:12,533][INFO] train iteration 211
[2021-09-13 13:08:12,894][INFO] train iteration 212
[2021-09-13 13:08:13,256][INFO] train iteration 213
[2021-09-13 13:08:13,616][INFO] train iteration 214
[2021-09-13 13:08:13,978][INFO] train iteration 215
[2021-09-13 13:08:14,339][INFO] train iteration 216
[2021-09-13 13:08:14,701][INFO] train iteration 217
[2021-09-13 13:08:15,063][INFO] train iteration 218
[2021-09-13 13:08:15,427][INFO] train iteration 219
[2021-09-13 13:08:15,791][INFO] train iteration 220
[2021-09-13 13:08:16,153][INFO] train iteration 221
[2021-09-13 13:08:16,516][INFO] train iteration 222
[2021-09-13 13:08:16,880][INFO] train iteration 223
[2021-09-13 13:08:17,242][INFO] train iteration 224
[2021-09-13 13:08:17,603][INFO] train iteration 225
[2021-09-13 13:08:17,966][INFO] train iteration 226
[2021-09-13 13:08:18,328][INFO] train iteration 227
[2021-09-13 13:08:18,689][INFO] train iteration 228
[2021-09-13 13:08:19,050][INFO] train iteration 229
[2021-09-13 13:08:19,412][INFO] train iteration 230
[2021-09-13 13:08:19,772][INFO] train iteration 231
[2021-09-13 13:08:20,137][INFO] train iteration 232
[2021-09-13 13:08:20,498][INFO] train iteration 233
[2021-09-13 13:08:20,859][INFO] train iteration 234
[2021-09-13 13:08:21,221][INFO] train iteration 235
[2021-09-13 13:08:21,583][INFO] train iteration 236
[2021-09-13 13:08:21,943][INFO] train iteration 237
[2021-09-13 13:08:22,304][INFO] train iteration 238
[2021-09-13 13:08:22,666][INFO] train iteration 239
[2021-09-13 13:08:23,027][INFO] train iteration 240
[2021-09-13 13:08:23,389][INFO] train iteration 241
